Model,MMLU,TruthfulQA,HellaSwag,ARC-C,GSM8K,WinoGrande,Avg
Llama-3-Base-8B-SFT,63.8±0.4,45.2±1.5,61.3±0.5,56.2±1.5,-,76.2±1.2,60.5
Llama-3-Base-8B-SFT-CPO,63.8±0.4,54.3±1.5,61.7±0.5,57.5±1.5,-,77.0±1.2,62.9
Llama-3-Base-8B-SFT-DPO,63.4±0.4,53.5±1.6,64.8±0.5,61.7±1.4,-,77.1±1.2,64.1
Llama-3-Base-8B-SFT-KTO,63.4±0.4,55.7±1.6,64.1±0.5,60.7±1.4,-,76.3±1.2,64.0
Llama-3-Base-8B-SFT-SimPO,63.1±0.4,59.4±1.5,62.3±0.5,62.3±1.4,-,77.2±1.2,64.9
Mistral-7B-Base-SFT-CPO,58.1±0.4,46.9±1.5,60.3±0.5,52.3±1.5,-,77.3±1.2,59.0
Mistral-7B-Base-SFT-DPO,57.6±0.4,53.1±1.6,64.3±0.5,57.2±1.5,-,78.3±1.2,62.1
Mistral-7B-Base-SFT-KTO,59.7±0.4,56.5±1.6,65.2±0.5,59.4±1.4,-,78.1±1.2,63.8
Mistral-7B-Base-SFT-SimPO,58.5±0.4,50.7±1.6,63.9±0.5,59.3±1.4,-,78.4±1.2,62.1
llama-3-8b-dpo-sorted-llama-full-ckpt-191,64.0±0.4,53.9±1.6,64.8±0.5,61.5±1.4,-,76.1±1.2,64.0
llama-3-8b-ours4-6-sorted-score-diff-full,63.2±0.4,55.5±1.6,64.8±0.5,61.6±1.4,-,77.5±1.2,64.5
mistral-7b-dpo-sorted-mistral-full,59.1±0.4,46.0±1.6,65.1±0.5,60.4±1.4,-,77.4±1.2,61.6
mistral-7b-ours4-6-sorted-score-diff-new-base-full-lr5,59.7±0.4,52.1±1.6,65.8±0.5,60.2±1.4,-,77.8±1.2,63.1
mistral-7b-sft-beta,59.8±0.4,42.9±1.5,61.9±0.5,55.0±1.5,-,76.9±1.2,59.3
